Symbol,Name,Price,Exchange
"SPY","SPDR S&P 500",342.35,"NYSE Arca"
"CMCSA","Comcast Corp",44.43,"Nasdaq Global Select"
"KMI","Kinder Morgan Inc",13.52,"New York Stock Exchange"
"INTC","Intel Corp",50.08,"Nasdaq Global Select"
"MU","Micron Technology Inc",46.48,"Nasdaq Global Select"
"GDX","VanEck Vectors Gold Miners",40.87,"NYSE Arca"
"GE","General Electric Co",6.42,"New York Stock Exchange"
"BAC","Bank of America Corp",26.54,"New York Stock Exchange"
"EEM","iShares MSCI Emerging Index Fund",44.35,"NYSE Arca"
"XLF","SPDR Select Sector Fund - Financial",25.29,"NYSE Arca"
"AAPL","Apple Inc",120.96,"Nasdaq Global Select"
"MSFT","Microsoft Corp",214.25,"Nasdaq Global Select"
"SIRI","Sirius XM Holdings Inc",5.72,"Nasdaq Global Select"
"HPQ","HP Inc",19.23,"New York Stock Exchange"
"CX","Cemex S.A.B. de C.V. Sponsored ADR",3.18,"New York Stock Exchange"
"EFA","iShares MSCI EAFE",64.52,"NYSE Arca"
"CZR","Caesars Entertainment Inc",49.81,"Nasdaq Global Select"
"QQQ","PowerShares QQQ Trust Series 1",283.58,"NASDAQ Global Market"
"F","Ford Motor Co",6.9,"New York Stock Exchange"
"AMD","Advanced Micro Devices Inc",82.01,"NASDAQ Capital Market"
"SNAP","Snap Inc",22.44,"New York Stock Exchange"
"FB","Facebook Inc",282.73,"Nasdaq Global Select"
"WFC","Wells Fargo & Co",24.79,"New York Stock Exchange"
"AIG","American International Group Inc",29.8,"New York Stock Exchange"
"T","AT&T Inc",29.42,"New York Stock Exchange"
"C","Citigroup Inc",52.52,"New York Stock Exchange"
"VALE","VALE S.A. American Depositary Shares Each Representing one",11.38,"New York Stock Exchange"
"MS","Morgan Stanley",52.71,"New York Stock Exchange"
"AKS","AK Steel Holding Corporation",1.55,"New York Stock Exchange"
"JPM","JPMorgan Chase & Co",103.52,"New York Stock Exchange"
"ORCL","Oracle Corp",55.73,"New York Stock Exchange"
"NKE","Nike Inc",112.4,"New York Stock Exchange"
"VWO","Vanguard FTSE Emerging Markets",44.11,"NYSE Arca"
"PG","Procter & Gamble Co",137.96,"New York Stock Exchange"
"FXI","iShares China Large-Cap",43.6,"NYSE Arca"
"IWM","iShares Russell 2000",152.77,"NYSE Arca"
"GSM","Ferroglobe PLC",0.4375,"Nasdaq Global Select"
"HK","Halcon Resources Corporation",0.19,"New York Stock Exchange"
"BBD","Banco Bradesco Sa American Depositary Shares",4.12,"New York Stock Exchange"
"PFE","Pfizer Inc",36.36,"New York Stock Exchange"
"JD","JD.com Inc.",80,"Nasdaq Global Select"
"NOK","Nokia Corporation Sponsored American Depositary Shares",4.48,"New York Stock Exchange"
"TWTR","Twitter Inc",39.87,"New York Stock Exchange"
"AMLP","Alerian MLP",22.43,"NYSE Arca"
"AVGO","Broadcom Inc",362.95,"Nasdaq Global Select"
"AMAT","Applied Materials Inc",60.96,"Nasdaq Global Select"
"WFT","Weatherford International plc (Ireland)",0.36,"New York Stock Exchange"
"UVXY","ProShares Trust Ultra VIX Short Term Futures",25.35,"NYSE Arca"
"DWDP","DowDuPont Inc.",30.51,"New York Stock Exchange"
"VXX","iPath S&P 500 VIX Short Term Futures TM ETN",29.12,"NYSE Arca"
"VEA","Vanguard FTSE Developed Markets",41.54,"NYSE Arca"
"ZNGA","Zynga Inc",8.75,"Nasdaq Global Select"
"XOM","Exxon Mobil Corp",39.08,"New York Stock Exchange"
"QCOM","Qualcomm Inc",115.97,"Nasdaq Global Select"
"TVIX","VelocityShares Daily 2x VIX Short Term ETN",112.36,"NASDAQ Global Market"
"VIPS","Vipshop Holdings Ltd",16.98,"New York Stock Exchange"
"GLD","SPDR Gold Trust",181.64,"NYSE Arca"
"CSCO","Cisco Systems Inc",40.82,"Nasdaq Global Select"
"AXP","American Express Co",105.67,"New York Stock Exchange"
"BMY","Bristol-Myers Squibb Co",59.95,"New York Stock Exchange"
"V","Visa Inc",204.66,"New York Stock Exchange"
"USO","United States Oil Fund",28.51,"NYSE Arca"
"GRPN","Groupon Inc",33.045,"Nasdaq Global Select"
"WP","Worldpay Inc. Class A",124.37,"New York Stock Exchange"
"OIH","VanEck Vectors Oil Services",124.99,"NYSE Arca"
"GERN","Geron Corp",1.83,"Nasdaq Global Select"
"KEY","KeyCorp",12.89,"New York Stock Exchange"
"RF","Regions Financial Corp",11.8,"New York Stock Exchange"
"KR","Kroger Co",35.47,"New York Stock Exchange"
"HAL","Halliburton Co",15.985,"New York Stock Exchange"
"BABA","Alibaba Group Holding Ltd",281.39,"New York Stock Exchange"
"MRO","Marathon Oil Corp",4.93,"New York Stock Exchange"
"CLNS","Colony NorthStar Inc.",6.41,"New York Stock Exchange"
"GILD","Gilead Sciences Inc",66.01,"Nasdaq Global Select"
"IEMG","iShares Core MSCI Emerging Markets",53.11,"NYSE Arca"
"GM","General Motors Co",30,"New York Stock Exchange"
"FCX","Freeport-McMoRan Inc",16.02,"New York Stock Exchange"
"CRM","Salesforce.Com Inc",254.7,"New York Stock Exchange"
"ATVI","Activision Blizzard Inc",79.01,"Nasdaq Global Select"
"SQ","Square Inc",146.39,"New York Stock Exchange"
"P","Pandora Media Inc.",8.4,"New York Stock Exchange"
"XLK","SPDR Select Sector Fund - Technology",118.1,"NYSE Arca"
"TWX","Time Warner Inc.",98.91,"New York Stock Exchange"
